,diff_read0,diff_read1,diff_read2,diff_read3,diff_read4,diff_read5,diff_read6,diff_read7,diff_read8,diff_read9,mean,start_timestamp,end_timestamp,diff_timestemp,inference
0,0.21999999999999997,-0.86,0.43,0.04000000000000001,-0.86,-0.18999999999999997,-0.32999999999999996,0.04999999999999999,0.22999999999999998,-0.18,-0.14499999999999996,1665656955,1665656967,12,1
1,0.21,0.15,0.08,0.30000000000000004,-0.15,0.10999999999999999,0.08999999999999997,-0.1,0.03,-0.19,0.053000000000000005,1665656968,1665656980,12,1
2,0.31999999999999995,0.14999999999999997,0.07999999999999996,-0.020000000000000018,0.030000000000000027,0.10999999999999999,-0.27,0.06,-0.04,0.5700000000000001,0.09899999999999999,1665656982,1665656994,12,1
3,0.05000000000000002,0.13,0.34,0.5299999999999999,0.5499999999999999,0.51,0.43000000000000005,0.33,0.28,0.37,0.352,1665656914,1665656926,12,1
4,0.15999999999999998,0.42,0.45999999999999996,0.48,0.43999999999999995,0.41000000000000003,-0.16999999999999998,-0.29000000000000004,0.33999999999999997,0.3400000000000001,0.259,1665656928,1665656940,12,1
5,0.24999999999999997,0.23999999999999996,0.37,1.01,0.8500000000000001,-0.5999999999999999,0.81,0.39,-0.06999999999999999,0.37,0.36200000000000004,1665656941,1665656953,12,1
6,0.78,0.6699999999999999,0.93,0.29000000000000004,0.61,0.6,1.19,-0.18,0.25,0.8099999999999999,0.595,1665656887,1665656899,12,1
7,0.98,0.95,0.71,0.34,0.23000000000000004,0.17,0.78,0.32999999999999996,0.22999999999999998,-0.09000000000000002,0.4629999999999999,1665656900,1665656913,13,1
8,-0.26999999999999996,0.74,0.06,0.020000000000000018,0.33,-0.5,-0.72,1.07,0.21999999999999997,-1.52,-0.05699999999999998,1665656995,1665657008,13,1
9,0.13,-0.26,-0.27,0.82,0.010000000000000009,-0.04999999999999999,-0.04999999999999999,0.5,-0.19000000000000003,-0.14,0.04999999999999999,1665657009,1665657021,12,1
10,-0.08999999999999997,-0.73,-1.06,-0.28,-0.39,0.15000000000000002,-0.21000000000000002,-0.38,-0.43,-0.2,-0.36200000000000004,1665657022,1665657035,13,1
11,-0.73,-0.95,-0.12,-0.72,-0.31999999999999995,0.020000000000000018,-0.10000000000000009,0.0,0.030000000000000027,-0.11000000000000004,-0.29999999999999993,1665657036,1665657049,13,1
12,-0.020000000000000018,-0.06000000000000005,0.040000000000000036,-0.05999999999999994,-0.010000000000000009,-0.020000000000000018,-0.06,0.10000000000000003,-0.27,-0.21000000000000002,-0.05700000000000001,1665657050,1665657062,12,0
13,-0.28,-0.41000000000000003,-0.15000000000000002,-0.26,-0.38999999999999996,-0.2,-0.38,0.01999999999999999,-0.6,-0.41000000000000003,-0.306,1665657063,1665657076,13,0
14,0.039999999999999925,-0.6900000000000001,-0.38,-0.51,-0.12,-0.44999999999999996,-0.42,-0.44,-0.49,-0.91,-0.437,1665657448,1665657461,13,1
15,-0.020000000000000018,-0.69,-0.74,-0.31000000000000005,-0.32000000000000006,-0.29000000000000004,-0.37000000000000005,-0.49,-0.19999999999999998,-0.21,-0.36400000000000005,1665657462,1665657475,13,1
16,-0.34,-0.36,-0.55,-0.48,-0.55,-0.52,-1.0,-0.91,-0.42,-0.11000000000000004,-0.524,1665657476,1665657489,13,1
17,-0.45000000000000007,-0.41000000000000003,-0.34,-0.31000000000000005,-0.43,-0.5399999999999999,-0.47000000000000003,-0.35,-0.31999999999999995,-0.32999999999999996,-0.395,1665657241,1665657253,12,0
18,-0.07999999999999999,-0.010000000000000009,0.4,-0.54,-0.47,-0.26,-0.57,-0.38,0.16,-0.7999999999999999,-0.255,1665657255,1665657267,12,1
19,-1.14,-0.36,-0.4600000000000001,-0.4,-0.6,-0.31000000000000005,-0.53,-0.32,-0.36,-0.32,-0.4800000000000001,1665657268,1665657281,13,1
20,-0.13,-0.08999999999999997,-0.17999999999999997,-0.33999999999999997,-0.3,-0.13,-0.43000000000000005,-0.98,-0.32,-0.29,-0.319,1665657159,1665657171,12,1
21,-0.55,-0.38,-0.22999999999999998,-1.24,-0.72,-0.47,-0.26999999999999996,-0.54,-1.04,-0.19,-0.5630000000000001,1665657173,1665657185,12,1
22,-0.12,-0.020000000000000018,-0.10000000000000003,-0.10000000000000003,-0.08000000000000002,-0.2,-0.15,-0.13999999999999999,-0.19000000000000003,-0.36,-0.146,1665657186,1665657198,12,1
23,-0.050000000000000044,-0.07000000000000006,-0.050000000000000044,-0.040000000000000036,-0.10999999999999999,-0.050000000000000044,-0.040000000000000036,-0.050000000000000044,-0.09999999999999998,-0.050000000000000044,-0.06100000000000003,1665657118,1665657130,12,0
24,0.010000000000000009,-0.039999999999999925,-0.020000000000000018,-0.020000000000000018,-0.06000000000000005,-0.09000000000000008,-0.33000000000000007,0.16000000000000003,0.0,-0.040000000000000036,-0.04300000000000002,1665657132,1665657144,12,1
25,-0.18000000000000005,-0.19000000000000006,-0.030000000000000027,-0.06999999999999995,-0.06999999999999995,-0.10999999999999999,-0.04999999999999999,-0.19,-0.13999999999999999,-0.13,-0.11599999999999996,1665657145,1665657157,12,1
26,-0.8800000000000001,-0.9199999999999999,-0.34,-0.24999999999999994,-0.3,-0.38000000000000006,-0.14,-0.73,-0.5,-0.25999999999999995,-0.4699999999999999,1665657077,1665657089,12,1
27,0.1,-0.43,-0.63,0.48,-0.15000000000000002,-0.08999999999999997,-0.07000000000000006,-0.09000000000000008,-0.07000000000000006,-0.040000000000000036,-0.09900000000000002,1665657091,1665657103,12,1
